objective,metric,lambda_l1,lambda_l2,learning_rate,max_depth,min_data_in_leaf,n_estimators,auc_train,f1_train,auc_test,f1_test
binary,auc,0.0,0.0,0.5,2,100,20,0.689708709104936,0.6060515614706895,0.6687401737727701,0.5970718038315445
binary,auc,0.0,0.0,0.5,2,100,50,0.7010799436447197,0.6123158638388617,0.670268235256612,0.5955524463396737
binary,auc,0.0,0.0,0.5,2,100,100,0.7096782050818828,0.6175074880678383,0.6691505860803173,0.5918551131413069
binary,auc,0.0,0.0,0.5,5,10,10,0.7192318727774477,0.6193676362154946,0.6648867514128921,0.5950771063794358
binary,auc,0.0,0.0,0.5,5,10,20,0.7449618127075003,0.6341856391037758,0.6615404066055718,0.5896258837260936
binary,auc,0.0,0.0,0.5,5,10,50,0.7889254111563035,0.6611497914333241,0.6491619246517875,0.581155024639072
binary,auc,0.0,0.0,0.5,5,10,100,0.8235226058673232,0.685370699216663,0.6395795073151561,0.5725181224922521
binary,auc,0.0,0.0,0.5,5,20,10,0.7175414889577111,0.6180905603420105,0.6643718217697677,0.5951788114823579
binary,auc,0.0,0.0,0.5,5,20,20,0.7392190383877929,0.6330109620359811,0.6614673467829765,0.5914386474794795
binary,auc,0.0,0.0,0.5,5,20,50,0.7816660618460479,0.6575009818003,0.65161665549259,0.5823421181891223
binary,auc,0.0,0.0,0.5,5,20,100,0.8129321168470524,0.6782066952472593,0.6403059840409736,0.5752327920096639
binary,auc,0.0,0.0,0.5,5,50,10,0.7123711401345959,0.6154445325196631,0.6687454745503595,0.5960899746837575
binary,auc,0.0,0.0,0.5,5,50,20,0.7350057675615886,0.6279937680959521,0.6644067064594472,0.5913839035494116
binary,auc,0.0,0.0,0.5,5,50,50,0.7689793925670824,0.6512376700812897,0.6542244545449392,0.5848468734925354
binary,auc,0.0,0.0,0.5,5,50,100,0.7980381355183873,0.6704870936989334,0.644559321407796,0.5732884916155038
binary,auc,0.0,0.0,0.5,5,100,10,0.7096138168343643,0.6163773519280557,0.665058804742101,0.5949542039069833
binary,auc,0.0,0.0,0.5,5,100,20,0.7304685270963099,0.6297645504206432,0.6651584431512708,0.594982608434251
binary,auc,0.0,0.0,0.5,5,100,50,0.7592080438193398,0.647993658684773,0.6573692515709567,0.5862560359346252
binary,auc,0.0,0.0,0.5,5,100,100,0.7858979823740554,0.6632384748284418,0.6483747157614244,0.5785116092724504
binary,auc,0.0,0.0,0.5,10,10,10,0.7417286744769361,0.6348003594013508,0.661409653645327,0.5909439416390155
binary,auc,0.0,0.0,0.5,10,10,20,0.7755735513794884,0.652337386103485,0.6555406997625813,0.5837152661053896
binary,auc,0.0,0.0,0.5,10,10,50,0.8263221041111691,0.6862420587314495,0.6431908833282453,0.5742130790573102
binary,auc,0.0,0.0,0.5,10,10,100,0.8637394452354054,0.7163491600778557,0.6327856319150299,0.5637959063622189
binary,auc,0.0,0.0,0.5,10,20,10,0.7396316040127209,0.6315188470460061,0.6608128551590742,0.5904330019577373
binary,auc,0.0,0.0,0.5,10,20,20,0.7718367546413322,0.6500816412359999,0.653900552361464,0.5843262785806338
binary,auc,0.0,0.0,0.5,10,20,50,0.8186867231699794,0.6810137155890806,0.6394062785821305,0.5688129895179874
binary,auc,0.0,0.0,0.5,10,20,100,0.8546380695211827,0.7071886924826195,0.631120487093958,0.5643119852707051
binary,auc,0.0,0.0,0.5,10,50,10,0.733640722913239,0.6273313356658231,0.66468643649767,0.5908008980679034
binary,auc,0.0,0.0,0.5,10,50,20,0.762670381373398,0.6486516679652269,0.6594587872553362,0.5890729350743181
binary,auc,0.0,0.0,0.5,10,50,50,0.8071332279826802,0.6771358294491073,0.6467120184356099,0.5756413004744793
binary,auc,0.0,0.0,0.5,10,50,100,0.8400425966389835,0.7011519725260701,0.6364946624086397,0.5680730119100245
binary,auc,0.0,0.0,0.5,10,100,10,0.7273877450105681,0.627726482838483,0.6620000837656226,0.58922437853656
binary,auc,0.0,0.0,0.5,10,100,20,0.7543239188131028,0.643490282146161,0.6566821644725732,0.5861330758417161
binary,auc,0.0,0.0,0.5,10,100,50,0.7946683885161893,0.6683477817389097,0.6478993073393553,0.5799634807575332
binary,auc,0.0,0.0,0.5,10,100,100,0.8279214282718766,0.6909931752880492,0.6365309714233859,0.569060127913617
binary,auc,0.0,0.0,0.5,20,10,10,0.7425948147489594,0.6331152504583754,0.6618000835892416,0.5928599648895316
binary,auc,0.0,0.0,0.5,20,10,20,0.7744680895143198,0.6529648938056668,0.6516854169877987,0.5842318513845242
binary,auc,0.0,0.0,0.5,20,10,50,0.8271348655670875,0.68723594610364,0.6384525196432479,0.5697588095404648
